ip,username,password
204.236.114.11,qiang,988@qq.com
123.109.106.198,fu,xxo.8kQYZJVSw
23.120.251.69,zhuang,sumex-2060
49.254.232.205,mu,a1b2@126.com
181.193.237.171,sang,1/8myweb
33.226.59.216,commonuser,Fiery.1
9.169.42.202,"<style><img src=""</style><img src=x onerror=javascript:alert(578)//"">","<script\x2Ftype=""text/javascript"">javascript:alert(405);</script>"
101.231.122.129,*(|(objectclass=*)),delete
76.165.100.125,bai,ghjkl;55555
123.109.106.198,fu,xxo.8kQYZJVSw
52.162.119.178,7654321,xo11nE
23.120.251.69,zhuang,sumex-2060
49.254.232.205,mu,a1b2@126.com
204.236.114.11,qiang,988qq.com
181.193.237.171,sang,1/8myweb
33.226.59.216,commonuser,ixcache
76.165.100.125,bai,ghjkl;55555
101.231.122.129,"""hi"""") or (""""a""""=""""a""",'sqlattempt1
9.169.42.202,"<meta content=""&NewLine; 1149 &NewLine;; JAVASCRIPT&colon; alert(1149)"" http-equiv=""refresh""/>","<script>({set/**/$($){_/**/setter=$,_=javascript:alert(1562)}}).$=eval</script>"
123.109.106.198,fu,xxo.8kQYZJVSw
23.120.251.69,zhuang,sumex-2060
49.254.232.205,mu,a1b2@126.com
52.162.119.178,7654321,4Dgifts
204.236.114.11,qiang,988@qq.com
181.193.237.171,sang,1/8myweb
33.226.59.216,commonuser,novell
9.169.42.202,"<img src=x onerror=\x09""javascript:alert(1540)"">","<;IMG SRC="";jav&;#x09;ascript:alert(1917);"";>;"
76.165.100.125,bai,ghjkl;55555
101.231.122.129,or,a' waitfor delay '0:0:10'--
123.109.106.198,fu,xxo.8kQYZJVSw
23.120.251.69,zhuang,sumex-2060
49.254.232.205,mu,a1b2@126.com
52.162.119.178,me,Congress
204.236.114.11,qiang,988@qq.com
181.193.237.171,sang,1/8myweb
33.226.59.216,commonuser,netlink
101.231.122.129,&,delete
76.165.100.125,bai,ghjkl;55555
123.109.106.198,fu,xxo.8kQYZJVSw
226.253.243.175,tong,987654ghjkl;
23.120.251.69,zhuang,sumex-2060
204.236.114.11,qiang,988@qq.com
52.162.119.178,me,adfexc
49.254.232.205,mu,a1b2@126.com
181.193.237.171,sang,1/8myweb
33.226.59.216,commonuser,powerdown
123.109.106.198,fu,xxo.8kQYZJVSw
76.165.100.125,bai,ghjkl;55555
101.231.122.129,or%201=1 --,' or ''='
226.253.243.175,tong,987654ghjkl;
204.236.114.11,qiang,988@qq.com
49.254.232.205,mu,a1b2@126.com
52.162.119.178,me,APPS
23.120.251.69,zhuang,sumex-2060
181.193.237.171,sang,1/8myweb
33.226.59.216,commonuser,crftpw
101.231.122.129,or 0=0 #,' or ''='
76.165.100.125,bai,ghjkl;55555
123.109.106.198,fu,xxo.8kQYZJVSw
226.253.243.175,tong,987654ghjkl;
204.236.114.11,qiang,988@qq.com
23.120.251.69,zhuang,sumex-2060
181.193.237.171,sang,1/8myweb
52.162.119.178,me,654321
49.254.232.205,mu,a1b2@126.com
33.226.59.216,commonuser,mduadmin
76.165.100.125,bai,1hjkl;55555
101.231.122.129,or 1=1--,char%4039%41%2b%40SELECT
123.109.106.198,fu,xxo.8kQYZJVSw
226.253.243.175,tong,987654ghjkl;
23.120.251.69,zhuang,sumex-2060
204.236.114.11,qiang,988@qq.com
52.162.119.178,me,admin_1
49.254.232.205,mu,a1b2@126.com
181.193.237.171,sang,1/8myweb
33.226.59.216,commonuser,xxyyzz
101.231.122.129,' or uname like '%,0 or 1=1
76.165.100.125,bai,ghjkl;55555
123.109.106.198,fu,xxo.8kQYZJVSw
226.253.243.175,tong,987654ghjkl;
204.236.114.11,qiang,988@qq.com
23.120.251.69,zhuang,sumex-2060
49.254.232.205,mu,a1b2@1D26.com
181.193.237.171,sang,1/8myweb
52.162.119.178,me,$chwarzepumpe
33.226.59.216,commonuser,NetVCR
76.165.100.125,bai,ghjkl;55555
101.231.122.129,\x23,select
226.253.243.175,tong,987654ghjkl;
123.109.106.198,fu,xxo.8kQYZJVSw
204.236.114.11,qiang,988@qq.com
23.120.251.69,zhuang,sumex-2060
182.47.148.234,\x27\x4F\x52 SELECT *,admin'--
181.193.237.171,sang,1/8my1web
49.254.232.205,mu,a1b2@126.com
33.226.59.216,useradmin,qwer1234
226.253.243.175,tong,987654ghjkl;
76.165.100.125,bai,ghjkl;55555
123.109.106.198,fu,xxo.8kQYZJVSw
101.231.122.129,' --,""" or 1=1 or """"="""
204.236.114.11,qiang,988@qq.com
23.120.251.69,zhuang,sumex-2060
49.254.232.205,mu,a1b2@126.com
181.193.237.171,sang,1/8myweb
182.47.148.234,asc,limit
33.226.59.216,useradmin,FORSE
76.165.100.125,bai,ghjkl;55555
226.253.243.175,tong,987654ghjkl;
101.231.122.129,' or 0=0 #,char%4039%41%2b%40SELECT
123.109.106.198,fu,xxo.8kQYZJVSw
181.193.237.171,sang,1/8myweb
23.120.251.69,zhuang,sumex-2060
204.236.114.11,qiang,988@qq.co:
182.47.148.234,' or a=a--,\x27UNION SELECT
49.254.232.205,mu,a1b2@126.com
33.226.59.216,useradmin,PORTAL30_DEMO
76.165.100.125,xiao,2112www.
123.109.106.198,fu,xxo.8kQYZJVSw
101.231.122.129,' or uid like '%,&lt;&gt;&quot;'%;)(&amp;+
226.253.243.175,tong,987654ghjkl;
23.120.251.69,bai,X-rated7198
49.254.232.205,mu,a1b2@126.com
182.47.148.234,order by,x' OR full_name LIKE '%Bob%
181.193.237.171,sang,1/8myweb
204.236.114.11,qiang,988@qq.com
33.226.59.216,useradmin,conexant
76.165.100.125,xiao,2112www.
123.109.106.198,fu,xxo.8kQYZJVSw
101.231.122.129,"""a"""" or 1=1--""",""") or (""a""=""a"
226.253.243.175,tong,987654ghjkl;
181.193.237.171,sang,1/8myweb
182.47.148.234,' or user like '%,%2A%28%7C%28mail%3D%2A%29%29
49.254.232.205,mu,a1b2@126.com
204.236.114.11,qiang,988@qq.com
23.120.251.69,bai,X-rated7198
33.226.59.216,useradmin,[^_^]
76.165.100.125,xiao,2112www.
123.109.106.198,fu,xxo.8kQYZJVSw
226.253.243.175,tong,987654ghjkl;
101.231.122.129,'; exec xp_regread,' and 2>1--
49.254.232.205,mu,a1b2@126.com
182.47.148.234,having,x' OR full_name LIKE '%Bob%
23.120.251.69,bai,X-rated7198
181.193.237.171,sang,1/8myweb
204.236.114.11,qiang,988@qq.com
33.226.59.216,useradmin,checkfs
101.231.122.129,""" or 1=1--",' or uname like '%
226.253.243.175,tong,987654ghjkl;
123.109.106.198,fu,xxo.8QYZJVSw
76.165.100.125,xiao,2112www.
181.193.237.171,yang,connet100%
204.236.114.11,qiang,988@qq.com
49.254.232.205,mu,a1b2@126.com
23.120.251.69,bai,X-rated7198
182.47.148.234,%2A%28%7C%28mail%3D%2A%29%29,or
33.226.59.216,CCC,admin112233
101.231.122.129,' or 0=0 --,%29
123.109.106.198,fu,xxo.8kQYZzJVSw
226.253.243.175,tong,987654ghjkl;
76.165.100.125,xiao,21X12www.
49.254.232.205,mu,a1b2@126.com
23.120.251.69,bai,X-rated7198
181.193.237.171,yang,connec@t100%
182.47.148.234,as,x' AND members.email IS NULL; --
204.236.114.11,qiang,988@qq.com
33.226.59.216,CCC,init
76.165.100.125,xiao,21)12www.
123.109.106.198,fu,xxo.8kQYZJVSw
101.231.122.129,' and '' like '%,)
226.253.243.175,tong,987654ghjkl;
182.47.148.234,\x27,'; exec master..xp_cmdshell
49.254.232.205,mu,a1b2@126.com
181.193.237.171,yang,connect100%
23.120.251.69,bai,X-rated7198
204.236.114.11,qiang,988qq.com
33.226.59.216,CCC,BIOS
76.165.100.125,xiao,2112www.
123.109.106.198,fu,xxo.8kQYZJVSw
245.160.150.63,liang,1q2w3e4r5t)
226.253.243.175,tong,987654ghjkl;
182.47.148.234,%29,' or ''='
79.70.216.65,xiong,windows1/8
23.120.251.69,bai,X-rated7198
49.254.232.205,mu,1b2@126.com
181.193.237.171,yang,connect100%
33.226.59.216,CCC,ABCD
123.109.106.198,fu,xxo.8kQYZJVSw
245.160.150.63,liang,1q2w3e4r5t)
226.253.243.175,tong,987654ghjkl;
76.165.100.125,xiao,2112www.
181.193.237.171,yang,connect10.0%
49.254.232.205,mu,a1b2@126.com
79.70.216.65,xiong,windows1/8
182.47.148.234,\x27,/
23.120.251.69,bai,X-rated7198
33.226.59.216,CCC,raidzone
76.165.100.125,xiao,2112www.
123.109.106.198,fu,xxo.8kQYZJVSw
226.253.243.175,tong,987654ghjkl;
245.160.150.63,liang,1q2w3e4r5t)
23.120.251.69,bai,X-rated7198
182.47.148.234,\x27\x6F\x72 SELECT *,""" or ""x""=""x"
79.70.216.65,xiong,windows1/8
49.254.232.205,mu,a1b2@126.com
181.193.237.171,yang,connect100%
33.226.59.216,CCC,$easyWinArt4
76.165.100.125,xiao,2112www.
123.109.106.198,fu,xxo.8kQYZJVSw
226.253.243.175,tong,987654ghjkl;
245.160.150.63,liang,1q2w3e4r5t)
49.254.232.205,mu,a1b2@126.com
79.70.216.65,xiong,winmdows1/8
23.120.251.69,bai,X-rated7198
182.47.148.234,&apos;%20OR,') or ('a'='a
181.193.237.171,yang,connect100%
33.226.59.216,CCC,g6PJ
76.165.100.125,xiao,2112www.
123.109.106.198,fu,xxo.8kQYZJVSw
245.160.150.63,liang,1q2w3e4r5t)
226.253.243.175,tong,987654ghjkl;
79.70.216.65,xiong,windows1/8
182.47.148.234,",@variable",handler
23.120.251.69,bai,X-rated7198
181.193.237.171,yang,connet100%
49.254.232.205,mu,a1b2@126.com
33.226.59.216,CCC,hqadmin
123.109.106.198,fu,xxo.8kQYZJVSw
76.165.100.125,xiao,2112www.
226.253.243.175,tong,987654ghjkl;
245.160.150.63,liang,1q2w3e4r5t)
49.254.232.205,mu,a1b2@126.com
79.70.216.65,xiong,windows1/8
23.120.251.69,bai,X-rated7198
181.193.237.171,yang,connect100%
182.47.148.234,//,\x3D \x3B'
33.226.59.216,CCC,4Dgifts
123.109.106.198,fu,xxo.8kQYZJVSw
76.165.100.125,xiao,2112ww.
245.160.150.63,liang,1q2w3e4r5t)
226.253.243.175,ao,1p2o3i4u$
181.193.237.171,yang,connect100%
175.222.190.19,zhi,11-Mar
182.47.148.234,"<>""'%;)(&+","<>""'%;)(&+"
23.120.251.69,bai,X-rated7198
79.70.216.65,xiong,window=1/8
162.16.86.133,gui,!@#$%^&*5th
123.109.106.198,fu,xxo.8kQYZJVSw
76.165.100.125,xiao,2112www.
226.253.243.175,ao,1p2o3i4u$
245.160.150.63,liang,1q2w3e4r5t)
182.47.148.234,"<>""'%;)(&+",' or uid like '%
181.193.237.171,yang,connect100%
23.120.251.69,bai,X-rated7198
175.222.190.19,zhi,11-Mar
79.70.216.65,xiong,windows1/8
162.16.86.133,gui,!@#$%^&*5th
76.165.100.125,xiao,2112www.
123.109.106.198,fu,xxo.8kQYZJVSw
245.160.150.63,liang,1q2w3e4r5t)
226.253.243.175,ao,1p2o3i4u$
182.47.148.234,*(|(objectclass=*)),t'exec master..xp_cmdshell 'nslookup www.google.com'--
181.193.237.171,yang,connect100%
23.120.251.69,bai,X-rated7198
175.222.190.19,zhi,11-Mar
79.70.216.65,xiong,windows1/8
162.16.86.133,gui,!@#$%^&*5th
123.109.106.198,fu,xo.8kQYZJVSw
76.165.100.125,xiao,2112www.
245.160.150.63,liang,1q2w3e4r5t)
226.253.243.175,ao,1p2o3i4u$
181.193.237.171,yang,connect100%
182.47.148.234,x' AND email IS NULL; --,char%4039%41%2b%40SELECT
175.222.190.19,zhi,11-Mar
79.70.216.65,xiong,windows1/8
23.120.251.69,bai,X-rated7198
162.16.86.133,gui,!@#$%^&*5th
202.205.157.195,gan,Vladislav-07
76.165.100.125,xiao,2112www.
182.47.148.234,update,distinct
181.193.237.171,yang,connect100%
245.160.150.63,liang,1q2w3e4r5t)
226.253.243.175,ao,1p2o3i4u$
175.222.190.19,zhi,11-Mar
79.70.216.65,xiong,windows1/8
23.120.251.69,bai,X-rated7198
162.16.86.133,gui,!@#$%^&*5th
76.165.100.125,xiao,2112www.
202.205.157.195,gan,Vladislav-07
245.160.150.63,liang,1q2we4r5t)
181.193.237.171,yang,c{onnect100%
182.47.148.234,or,\x23
226.253.243.175,ao,1p2o3i4u$
79.70.216.65,xiong,windows1/8
23.120.251.69,bai,X-rated7198
175.222.190.19,zhi,11-Mar
162.16.86.133,gui,!@#$%^&*5th
76.165.100.125,xiao,2112www.
202.205.157.195,gan,Vladislav-07
245.160.150.63,liang,1q2w3e4r5t)
226.253.243.175,ao,1p2o3i4u$
181.193.237.171,yang,connect100%
182.47.148.234,%26,' or userid like '%
175.222.190.19,zhi,11-Mar
79.70.216.65,xiong,windows1/8
23.120.251.69,bai,X-rated7198
162.16.86.133,gui,!@#$%^&*5th
76.165.100.125,xiao,2112www.
202.205.157.195,gan,Vladislav-07
226.253.243.175,ao,1p2o3i4u$
245.160.150.63,liang,1q2w3e4r5t)
181.193.237.171,yang,connect100%
182.47.148.234,/,PRINT
23.120.251.69,bai,X-rated7198
79.70.216.65,xiong,windows1/8
175.222.190.19,zhi,1-Mar
162.16.86.133,gui,!@#$%^&*5th
76.165.100.125,jie,.com.cn1888
202.205.157.195,gan,Vladislav-07
226.253.243.175,ao,1p2o3i4u$
182.47.148.234,update,%26
181.193.237.171,yang,connect100%
245.160.150.63,liang,1q2w3e4r5t)
175.222.190.19,zhi,11-Mar
79.70.216.65,xiong,windows1/8
23.120.251.69,bai,X-rated7198
162.16.86.133,gui,!@#$%^&*5th
76.165.100.125,jie,.com.cn1888
202.205.157.195,gan,Vladislav-07
182.47.148.234,hi' or 1=1 --,tz_offset
226.253.243.175,ao,1p2/3i4u$
181.193.237.171,yang,connect100%
245.160.150.63,liang,1q2w3e4r5t)
79.70.216.65,xiong,windows1/8
175.222.190.19,zhi,11-Mar
23.120.251.69,bai,XFrated7198
162.16.86.133,gui,!@#$%^&*5th
76.165.100.125,jie,.com.cn1888
202.205.157.195,gan,Vladislav-07
181.193.237.171,yang,connect100%
182.47.148.234,""" or 1=1--",'or select *
245.160.150.63,liang,1q2w3e4r5t)
226.253.243.175,ao,1p2o3i4u$
23.120.251.69,bai,X-rated7198
79.70.216.65,xiong,windows1/8
175.222.190.19,zhi,11-Mar
162.16.86.133,gui,!@#$%^&*5th
202.205.157.195,gan,Vladis_lav-07
76.165.100.125,jie,.com.cn1888
181.193.237.171,yang,connect100%
226.253.243.175,ao,1bp2o3i4u$
245.160.150.63,liang,1q2w3e4r5t)
182.47.148.234,--,%2A%28%7C%28mail%3D%2A%29%29
79.70.216.65,xiong,windows1/8
175.222.190.19,zhi,11-Mar
23.120.251.69,xue,c++12345678
162.16.86.133,gui,!@#$%^&*5th
76.165.100.125,jie,.com.cn1888
202.205.157.195,gan,Vladislav-07
181.193.237.171,yang,connect100%
245.160.150.63,liang,1q2w3e4r5t)
155.1.252.198,bi,netgirl1/8
226.253.243.175,ao,1p2o3i4u$
79.70.216.65,xiong,windows1/8
175.222.190.19,zhi,11-Mar
23.120.251.69,xue,c++12345678
162.16.86.133,gui,!@#$%^&*5th
76.165.100.125,jie,.com.cn1888
202.205.157.195,gan,Vladislav-07
226.253.243.175,ao,1p2o3i4u$
155.1.252.198,bi,netgirl1/8
245.160.150.63,liang,1q2w3e4r5t)
181.193.237.171,yang,connect100%
79.70.216.65,xiong,windows1/8
23.120.251.69,xue,c++12345678
175.222.190.19,zhi,11-Mar
162.16.86.133,gui,!@#$%^&*5th
76.165.100.125,jie,.com.cn#1888
202.205.157.195,gan,Vladislav-07
226.253.243.175,ao,1p2o3i4u$
181.193.237.171,yang,connect100%
155.1.252.198,bi,netgirl1/8
245.160.150.63,lu,c++77777
175.222.190.19,zhi,11-Mar
79.70.216.65,xiong,windows1/8
23.120.251.69,xue,c++12345678
162.16.86.133,gui,!@#$%^&*5th
202.205.157.195,gan,Vladi'lav-07
76.165.100.125,jie,.com.cn1888
245.160.150.63,lu,c+77777
181.193.237.171,yang,con8ect100%
155.1.252.198,bi,netgirlq1/8
226.253.243.175,ao,1p2o3i4u$
23.120.251.69,xue,c++1234678
79.70.216.65,xiong,windows1/8
175.222.190.19,zhi,11-Mar
162.16.86.133,gui,!@#$%^&*5th
76.165.100.125,jie,.com.cn1888
202.205.157.195,gan,Vladislav-07
245.160.150.63,lu,c++7777
155.1.252.198,bi,neDtgirl1/8
60.45.206.14,PRODBM,QSRV
226.253.243.175,ao,1p2o3i4u$
23.120.251.69,xue,c++1234578
79.70.216.65,xiong,windows1/8
175.222.190.19,zhi,11-Mar
162.16.86.133,gui,!@#$%^&*5th
76.165.100.125,jie,.com.cn1888
202.205.157.195,gan,Vladislav-07
245.160.150.63,lu,c++77777
60.45.206.14,PRODBM,starwars
79.70.216.65,xiong,windows1/8
155.1.252.198,bi,netgirl1/8
23.120.251.69,xue,c++12345678
226.253.243.175,ao,1p2o3i4u$
175.222.190.19,zhi,11-Mar
162.16.86.133,gui,!@#$%^&*5th
202.205.157.195,gan,Vladislav-07
76.165.100.125,jie,.com.cn1888
60.45.206.14,PRODBM,MTRPW
245.160.150.63,lu,c++77777
175.222.190.19,zhi,11-Mar
23.120.251.69,xue,c++12345678
162.16.86.133,gui,!@#$%^&*5th
79.70.216.65,xiong,windows1/8
226.253.243.175,ao,1p2o3i4u$
155.1.252.198,bi,netgirl1/8
76.165.100.125,jie,.com.cn1888
202.205.157.195,gan,Vladislv-07
60.45.206.14,PRODBM,h179350
245.160.150.63,lu,c++77777
23.120.251.69,xue,c++12345678
175.222.190.19,zhi,11-Mar
155.1.252.198,bi,netgirl1/8
226.253.243.175,ao,1p2o3i4u$
162.16.86.133,gui,!@#$%^&*5th
79.70.216.65,xiong,windows1/8
76.165.100.125,jie,.com.cn1888
202.205.157.195,gan,Vladislav07
245.160.150.63,lu,c++77777
60.45.206.14,PRODBM,PORTAL30_SSO
23.120.251.69,xue,c++12345678
175.222.190.19,zhi,11-Mar
226.253.243.175,ao,1p2o3i4u$
155.1.252.198,bi,netgirl1/8
79.70.216.65,xiong,winows1/8
162.16.86.133,gui,!@#$%^&*5th
202.205.157.195,gan,Vladis;av-07
76.165.100.125,jie,.com.cn1888
245.160.150.63,lu,c++77777
60.45.206.14,PRODBM,OO
23.120.251.69,xue,c++12345678
175.222.190.19,zhi,11-Mar
155.1.252.198,bi,netgirl1/8
79.70.216.65,xia,Y4aq7pR6m0DNQwF_T
226.253.243.175,ao,1p2o3i4u$
162.16.86.133,gui,!@#$%^&*51h
76.165.100.125,jie,.com.cn1888
202.205.157.195,gan,Vladislav-07
245.160.150.63,lu,c++77777
60.45.206.14,PRODBM,snake
175.222.190.19,zhi,11-Mar
23.120.251.69,xue,c++12345678
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
155.1.252.198,bi,netgirl1/8
226.253.243.175,ao,1p2o3i4u$
162.16.86.133,gui,!@#$%^E*5th
76.165.100.125,jie,.com.cn1888
202.205.157.195,gan,Vladislav-07
60.45.206.14,mtcl,bcpb
245.160.150.63,lu,c++77777
175.222.190.19,zhi,11-Ma|r
23.120.251.69,xue,c++12345678
155.1.252.198,bi,netgirl1/8
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
226.253.243.175,ao,1p2o3i4u$
162.16.86.133,yu,a_wong78
202.205.157.195,gan,Vladislav-07
76.165.100.125,jie,.com.cn1888
60.45.206.14,mtcl,vantage12!
245.160.150.63,lu,c++77777
23.120.251.69,xue,c++12345678
175.222.190.19,zhi,11-Mar
155.1.252.198,bi,netgirl1/8
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
162.16.86.133,yu,a_wog78
226.253.243.175,ao,1p2o3i4u$
76.165.100.125,jie,.com.cn1888
202.205.157.195,gan,Vladislav-07
245.160.150.63,lu,c++77777
60.45.206.14,mtcl,jamfsw03
175.222.190.19,wu,colboy100%
23.120.251.69,xue,c++12345678
162.16.86.133,yu,a_wong78
226.253.243.175,ao,1p2o3i4u$
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
155.1.252.198,bi,netgirl1/8
76.165.100.125,jie,.com.cn1888
202.205.157.195,gan,Vladislav-07
60.45.206.14,mtcl,PracticeUser1
245.160.150.63,lu,c++477777
23.120.251.69,xue,c++12345678
175.222.190.19,wu,coolboy100%
155.1.252.198,bi,netgirl1/8
162.16.86.133,yu,a_wong78
79.70.216.65,xia,Y4q7pR6m0DNwF_T
226.253.243.175,ao,1p2o3i4u$
76.165.100.125,jie,.com.cn1888
202.205.157.195,xiao,shit@139.com
245.160.150.63,lu,c++77777
60.45.206.14,mtcl,pixmet2003
175.222.190.19,wu,coolboy100%
23.120.251.69,xue,c++12345678
226.253.243.175,ao,1p2o3i4u$
155.1.252.198,bi,netgirl1/8
162.16.86.133,yu,a_wong78
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
202.205.157.195,xiao,shit@139.com
76.165.100.125,jie,.com.cn1888
60.45.206.14,mtcl,Airaya
245.160.150.63,lu,c++77777
175.222.190.19,wu,csoolboy100%
23.120.251.69,xue,c++12345678
226.253.243.175,ao,1p2o3i4u$
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
162.16.86.133,yu,a_wong78
155.1.252.198,bi,netgnrl1/8
76.165.100.125,jie,.com.cn1888
202.205.157.195,xiao,shit@139.com
245.160.150.63,lu,c++77777
60.45.206.14,22222222,sa123456
23.120.251.69,xue,c++12345678
175.222.190.19,wu,coolboy100%
155.1.252.198,bi,netgirl1/8
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
162.16.86.133,yu,a_wong78
226.253.243.175,ao,1p2o3i4u$
76.165.100.125,jie,.com.cn1888
202.205.157.195,xiao,shit@139.com
60.45.206.14,22222222,tini
245.160.150.63,lu,c++77777
23.120.251.69,xue,c++12345678
175.222.190.19,wu,coolboy100%
162.16.86.133,yu,a_wong78
79.70.216.65,xia,Y4aq7R6m0DNwF_T
226.253.243.175,miao,147258www.
155.1.252.198,bi,netgirl1/8
202.205.157.195,xiao,shit@139.com
76.165.100.125,jie,.com.cn1888
245.160.150.63,lu,c++77777
60.45.206.14,22222222,trouble
23.120.251.69,xue,c++12345678
175.222.190.19,wu,coolboy100%
155.1.252.198,bi,netgirl1/8
226.253.243.175,miao,147258www.
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
162.16.86.133,yu,a_wong78
76.165.100.125,jie,.com.n1888
202.205.157.195,xiao,shit@139.com
60.45.206.14,22222222,CISINFO
245.160.150.63,lu,c++77777
175.222.190.19,wu,coolboy100%
23.120.251.69,xue,c++12345678
155.1.252.198,bi,netgirl1/8
162.16.86.133,yu,a_wong78
226.253.243.175,miao,147258wwwh.
79.70.216.65,xia,Y4aq7pR6>m0DNwF_T
202.205.157.195,xiao,shit@139.com
76.165.100.125,jie,.com.cn1888
245.160.150.63,lu,++77777
60.45.206.14,22222222,msfdev
175.222.190.19,wu,coolboy100%
23.120.251.69,xue,c++12345678
162.16.86.133,yu,a_wong78
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
155.1.252.198,bi,netgirl1/8
226.253.243.175,miao,147258www.
76.165.100.125,jie,.com.cn1888
202.205.157.195,xiao,shit@139.com
245.160.150.63,lu,c++77777
60.45.206.14,halt,secoff
175.222.190.19,wu,coolboy100%
23.120.251.69,xue,c++12345678
162.16.86.133,yu,a_wong78
155.1.252.198,bi,netgirl1/8
226.253.243.175,miao,147258www.
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
202.205.157.195,xiao,shit@139.com
76.165.100.125,jie,.com.cn1888
245.160.150.63,cui,idctest@2010
60.45.206.14,halt,Aa123456@
175.222.190.19,wu,coolboy100%
218.236.249.239,mu,vvvvv50%
162.16.86.133,yu,a_wong78
226.253.243.175,miao,147258www.
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
155.1.252.198,bi,netgirl1/8
76.165.100.125,jie,.com.cn1888
202.205.157.195,xiao,shit@139.com
60.45.206.14,halt,56789
245.160.150.63,cui,idctest@2010
175.222.190.19,wu,coolboy100%
218.236.249.239,mu,vvvvv50%
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
226.253.243.175,miao,147258www.
162.16.86.133,yu,a_wong78
155.1.252.198,bi,netgirl1/8
202.205.157.195,xiao,shit@139.com
76.165.100.125,jie,.com.cn1888m
218.236.249.239,mu,vvvvv50%
245.160.150.63,cui,idctest@2010
175.222.190.19,wu,coolboy100%
60.45.206.14,halt,yankees
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
226.253.243.175,miao,147258www.
162.16.86.133,yu,a_wong78
155.1.252.198,bi,Enetgirl1/8
112.2.10.37,adminttd,Huawei12#$
202.205.157.195,xiao,shit@139.com
60.45.206.14,halt,Advance
175.222.190.19,wu,coolboy100%
218.236.249.239,mu,vvvvv50%
245.160.150.63,cui,idctest@2010
226.253.243.175,miao,1&7258www.
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
162.16.86.133,yu,a_woFg78
155.1.252.198,bi,netgirl1/8
112.2.10.37,adminttd,smcadmin
202.205.157.195,xiao,shit@139.com
245.160.150.63,cui,idctest@2010
60.45.206.14,halt,mom
175.222.190.19,wu,coolboy100%
162.16.86.133,yu,a_wong78
226.253.243.175,miao,147258www.
218.236.249.239,mu,vvvvv50%
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
155.1.252.198,bi,netgirl1/8
202.205.157.195,xiao,shit@139.com
112.2.10.37,adminttd,31994
60.45.206.14,mtcl,ubnt
245.160.150.63,cui,idctest@2010
162.16.86.133,yu,a_wong78
175.222.190.19,wu,coolboy100%
226.253.243.175,miao,147258www.
218.236.249.239,mu,vvvvv50%
155.1.252.198,bi,netgirl1/8
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
112.2.10.37,adminttd,bcpb+serial#
202.205.157.195,xiao,shit@139.com
60.45.206.14,mtcl,SAPR3
245.160.150.63,cui,idctest@2010
162.16.86.133,yu,a_wong78
175.222.190.19,wu,coolboy100%
226.253.243.175,miao,147258www.
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
218.236.249.239,mu,vvvvv0%
155.1.252.198,gou,1/8monday
112.2.10.37,adminttd,GPFD
202.205.157.195,xiao,shit@139.com
60.45.206.14,mtcl,lp
245.160.150.63,cui,idctest@2010
175.222.190.19,wu,coolboy100%
162.16.86.133,yu,av_wong78
226.253.243.175,miao,147258www.
218.236.249.239,mu,vvvvv50%
155.1.252.198,gou,1/8monday
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
112.2.10.37,adminttd,Admin@huawei
202.205.157.195,xiao,shit@139.com
245.160.150.63,cui,idctest@2010
60.45.206.14,mtcl,589721
162.16.86.133,yu,a_wong78
226.253.243.175,miao,147258www.
175.222.190.19,wu,coolboy100%
218.236.249.239,mu,vvvvv50%
155.1.252.198,gou,1S8monday
79.70.216.65,xia,Y4aq7pR6m0DNwF_T
202.205.157.195,xiao,shit@139.com
112.2.10.37,dmq,777777
60.45.206.14,mtcl,sysbin
245.160.150.63,cui,idctest@2010
162.16.86.133,yu,a_wong-78
175.222.190.19,wu,coolboy100%
226.253.243.175,miao,147258www.
79.70.216.65,xia,Y4aq7pR6m(0DNwF_T
155.1.252.198,gou,1/8monday
218.236.249.239,mu,vvvvv50%E
112.2.10.37,dmq,@dsl_xilno
202.205.157.195,xiao,shit@139.com
60.45.206.14,mtcl,sa123456
245.160.150.63,cui,idctest@2010
175.222.190.19,wu,colboy100%
162.16.86.133,yu,a_wong78
226.253.243.175,miao,147258www.
155.1.252.198,gou,1/8monday
66.106.187.234,or a=a,a' waitfor delay '0:0:10'--
218.236.249.239,mu,vvvvv50%
112.2.10.37,dmq,ODSCOMMON
202.205.157.195,xiao,shit@139.com
60.45.206.14,mtcl,pwd
245.160.150.63,cui,idctest@2010
162.16.86.133,yu,a_wong78
